Código Unb;Armazém;Código Região;Id Catálogo;Nome Catálogo;Código;Descrição;Ativo;Item Geral;Geral para regiões;Retornável;Descartavel;Camadas;Quantidade Palete;Quantidade Palete Dúzia;Fator;Código embalagem;Código tipo embalagem;Embalagem;Grupo;Subgrupo;Embalagem/Tipo produto;Altura do palete;Quantidade de Lastros/Camadas;Largura do item;Altura do item;Comprimento do item;Peso bruto do item;Base palete;Topo Palete;Barril;Água/Isotônico;Tipo Caixa;Quantidade de unidades por caixa;Fator14;Quantidade14;Fator21;Quantidade21;Fator28;Quantidade28;Fator35;Quantidade35;Fator42;Quantidade42;Código subtipo;Descrição subtipo;Ocupação extra;Pré-picking Marketplace
4;CD Ciudad del Este;;11.0;SAZ - Paraguay;27;PILSEN_TRADICIONAL_KEG_x01_30L;True;False;True;True;False;2;16;16;1.0;2003.0;2003.0;KEG 30000 ml;2003.0;2003.0;2003 - KEG 30000 ml (Tipo: 2003 - KEG 30000 ml);1.0;8;1.0;1.0;1.0;1.0;False;False;True;False;;;3.5;8.0;5.25;8.0;7.0;8.0;1.5556;45.0;5.25;16.0;;;False;False
;;;;;29;GAS CARBONICO BRAHMA CILINDRO 18 KG;True;True;False;True;False;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;44;PEPSI COLA MIX POST-MIX 18L;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;27.26;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;55;PEPSI 1.5X6PET;True;False;True;False;True;5;110;110;6.0;2012.0;2012.0;1500;20.0;201.0;2012 - 1500 (Tipo: 2012 - 1500);1.0;22;1.0;1.0;1.0;1.0;False;False;False;False;;;0.2545;22.0;0.3818;44.0;0.5091;66.0;0.6364;88.0;0.7636;110.0;;;False;False
11;CD Neuquen;;10.0;SAZ - Argentina;55;PEPSI 1.5X6PET;True;False;True;False;True;5;110;110;6.0;3051.0;3051.0;NQN - GASEOSAS 1500;30.0;305.0;3051 - NQN - GASEOSAS 1500 (Tipo: 3051 - NQN - GASEOSAS 1500);1.0;22;1.0;1.0;1.0;1.0;False;False;False;False;;;1.2727;22.0;0.9545;44.0;0.8485;66.0;0.7955;88.0;0.7636;110.0;;;False;False
21;CD Rosario II;;10.0;SAZ - Argentina;55;PEPSI 1.5X6PET;True;False;True;False;True;5;110;110;6.0;2132.0;2132.0;1500;21.0;213.0;2132 - 1500 (Tipo: 2132 - 1500);1.0;22;1.0;1.0;1.0;1.0;False;False;False;False;;;1.2727;22.0;0.9545;44.0;0.8485;66.0;0.7955;88.0;0.7636;110.0;;;False;False
20;CD Santa Fe;;10.0;SAZ - Argentina;55;PEPSI 1.5X6PET;True;False;True;False;True;5;110;110;6.0;2012.0;2012.0;1500;20.0;201.0;2012 - 1500 (Tipo: 2012 - 1500);1.0;22;1.0;1.0;1.0;1.0;False;False;False;False;;;1.2727;22.0;0.9545;44.0;0.8485;66.0;0.7955;88.0;0.7636;110.0;;;False;False
;;;;;59;Descricao temporaria CRIADO AUTO;True;True;False;True;False;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;1001;11.0;SAZ - Paraguay;59;OURO_FINO_CAN_x12_0,354L;True;False;True;False;True;12;264;264;12.0;4400.0;4400.0;CAN 269/310/350/354/355;440.0;4400.0;4400 - CAN 269/310/350/354/355 (Tipo: 4400 - CAN 269/310/350/354/355);1.0;22;1.0;1.0;1.0;1.0;False;False;False;False;;;0.1591;176.0;0.2121;198.0;0.2545;220.0;0.2893;242.0;0.3182;264.0;;;False;False
;;;2.0;Brasil;78;SEVEN UP PET 2L CAIXA C/6;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;14.69;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
