Código Unb;Armazém;Código Região;Id Catálogo;Nome Catálogo;Código;Descrição;Ativo;Item Geral;Geral para regiões;Retornável;Descartavel;Camadas;Quantidade Palete;Quantidade Palete Dúzia;Fator;Código embalagem;Código tipo embalagem;Embalagem;Grupo;Subgrupo;Embalagem/Tipo produto;Altura do palete;Quantidade de Lastros/Camadas;Largura do item;Altura do item;Comprimento do item;Peso bruto do item;Base palete;Topo Palete;Barril;Água/Isotônico;Tipo Caixa;Quantidade de unidades por caixa;Fator14;Quantidade14;Fator21;Quantidade21;Fator28;Quantidade28;Fator35;Quantidade35;Fator42;Quantidade42;Código subtipo;Descrição subtipo;Ocupação extra;Pré-picking Marketplace
;;;2.0;Brasil;17862;SKOL BEATS NEW FLAVOUR LONG NECK 313ML SIX-PACK SH;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17863;AGUA M F DA ILHA S/G PET 300ML CX C/12 NPAL;True;True;False;False;True;0;0;175;0.0;;;;;;;0.0;0;0.0;0.0;0.0;10.6;False;False;False;False;;;0.4828;58.0;0.4828;87.0;0.4828;116.0;0.4828;145.0;0.48;175.0;;;False;False
;;1001;11.0;SAZ - Paraguay;17863;BRAHMA CAN X12 269 NVBI;True;False;True;False;True;12;336;336;12.0;4400.0;4400.0;CAN 269/310/350/354/355;440.0;4400.0;4400 - CAN 269/310/350/354/355 (Tipo: 4400 - CAN 269/310/350/354/355);1.0;28;1.0;1.0;1.0;1.0;False;False;False;False;;;0.125;224.0;0.1667;252.0;0.2;280.0;0.2273;308.0;0.25;336.0;;;False;False
;;;2.0;Brasil;17864;AGUA M F DA ILHA C/G PET 300ML CX C/12 NPAL;True;True;False;False;True;0;0;175;0.0;;;;;;;0.0;0;0.0;0.0;0.0;11.82;False;False;False;False;;;0.4828;58.0;0.4828;87.0;0.4828;116.0;0.4828;145.0;0.48;175.0;;;False;False
;;;2.0;Brasil;17866;MODELO ONE WAY 355ML C/24 SMK.;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;9.48;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;17869;GOOSE 4STAR ONE WAY 355ML CX C/4 SIX PACK GT;True;False;True;False;True;10;400;400;6.0;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;40;1.0;1.0;1.0;1.0;False;False;False;False;;;0.07;240.0;0.105;280.0;0.14;320.0;0.175;360.0;0.21;400.0;;;False;False
;;;2.0;Brasil;17869;GOOSE 4STAR ONE WAY 355ML CX C/4 SIX PACK GT;True;True;False;False;True;10;400;400;6.0;71.0;1.0;ONE-WAY 355;4.0;1.0;71 - ONE-WAY 355 (Tipo: 1 - CERVEJA);1.69;40;1.0;1.0;1.0;1.0;False;False;False;False;;;0.1167;240.0;0.15;280.0;0.175;320.0;0.1944;360.0;0.21;400.0;;;False;False
;;;2.0;Brasil;17872;SHOCK TOP RUBY FRESH ONE WAY 355ML CX C/4 SIX PACK;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;13.76;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17874;WALS COCO BAMBU ONE WAY 600ML CX C/12 ARTE;True;True;False;False;True;6;84;84;12.0;2001.0;2001.0;One way 600;20.0;2001.0;2001 - One way 600 (Tipo: 2001 - One way 600);1.91;14;17.5;15.8;25.6;11.4;False;False;False;False;;;1.0;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;84.0;1.0;CERVEJA COM ALCOOL;False;False
;;;2.0;Brasil;17891;DO BEM LARANJA TETRAPAK 1L CX12 TGCRYSTAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17894;DO BEM LARANJA COM GOMINHO TETRAPAK 1L CX12 TGCRYS;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17896;DO BEM COCO TETRAPAK 1L CX12 TGCRYSTAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17898;DO BEM LIMONADA TETRAPAK 1L CX12 TGCRYSTAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17900;DO BEM ABACAXI COM HORTELA TETRAPAK 1L CX12 TGCRYS;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17902;SKOL LT 269ML CX C/8 FRIDGE PACK MULTPACK;True;True;False;False;True;13;520;520;8.0;88.0;1.0;LATA 269;2.0;1.0;88 - LATA 269 (Tipo: 1 - CERVEJA);1.69;40;11.6;13.0;23.1;2.23;False;False;False;False;;;0.14;200.0;0.15;280.0;0.16;360.0;0.16;440.0;0.16;520.0;;;False;False
;;;2.0;Brasil;17903;DO BEM VEM MEU BRONZE TETRAPAK 1L CX12 TGCRYSTAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17906;SKOL LT 350ML 6PACK CX CART C/2 NPAL MULTPACK 6;True;True;False;False;True;13;286;286;12.0;32.0;1.0;LATA 355;2.0;2.0;32 - LATA 355 (Tipo: 1 - CERVEJA);1.69;22;21.0;13.0;28.0;4.6;False;False;False;False;;;0.32;87.0;0.32;131.0;0.28;198.0;0.27;262.0;0.29;286.0;;;False;False
;;;2.0;Brasil;17908;DO BEM MACA TETRAPAK 1L CX12 TGCRYSTAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17910;PEPSI TWIST GINGER LATA 350ML SH C/12 NPAL;True;True;False;False;True;13;286;286;12.0;32.0;1.0;LATA 355;2.0;2.0;32 - LATA 355 (Tipo: 1 - CERVEJA);1.69;22;21.0;13.0;28.0;4.49;False;False;False;False;;;0.32;88.0;0.32;132.0;0.28;198.0;0.29;242.0;0.29;286.0;;;False;False
;;;2.0;Brasil;17912;DO BEM TANGERINA 100 TETRAPAK 1L CX12 TGCRYSTAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17914;DO BEM UVA TETRAPAK 1L CX12 TGCRYSTAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17916;SKOL LT 269ML CX C/12 FRIDGE PACK;True;True;False;False;True;13;364;364;8.0;88.0;1.0;LATA 269;2.0;1.0;88 - LATA 269 (Tipo: 1 - CERVEJA);1.69;28;11.6;13.0;23.1;3.4;False;False;False;False;;;0.2;140.0;0.21;196.0;0.22;252.0;0.23;308.0;0.23;364.0;;;False;False
;;1001;11.0;SAZ - Paraguay;17920;BRAHMA RET X24 340 NVBI;True;False;True;True;False;6;60;60;24.0;151.0;151.0;RET 340 ml;15.0;151.0;151 - RET 340 ml (Tipo: 151 - RET 340 ml);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;1.4;20.0;1.4;30.0;1.4;40.0;1.4;50.0;1.4;60.0;;;False;False
;;2200;;;17922;Eco Andes 500cc20 s/gas Vidrio 60 bultos;True;False;True;True;False;6;60;60;1.4;4022.0;4022.0;CZA RET 350;40.0;402.0;4022 - CZA RET 350 (Tipo: 4022 - CZA RET 350);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;1.4;60.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;17922;Eco Andes 500cc20 s/gas Vidrio 60 bultos;True;False;True;True;False;6;60;60;20.0;4022.0;4022.0;CZA RET 350;40.0;402.0;4022 - CZA RET 350 (Tipo: 4022 - CZA RET 350);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;0.4667;20.0;0.7;30.0;0.9333;40.0;1.1667;50.0;1.4;60.0;;;False;False
20;CD Santa Fe;;10.0;SAZ - Argentina;17922;Eco Andes 500cc20 s/gas Vidrio 60 bultos;True;False;True;True;False;6;60;60;20.0;4132.0;4132.0;SFE-CZA RET 350;41.0;413.0;4132 - SFE-CZA RET 350 (Tipo: 4132 - SFE-CZA RET 350);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;1.4;20.0;1.4;30.0;1.4;40.0;1.4;50.0;1.4;60.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;17923;Eco Andes c/gas 500cc20 Vidrio 60 bultos;True;False;True;True;False;6;60;60;20.0;4022.0;4022.0;CZA RET 350;40.0;402.0;4022 - CZA RET 350 (Tipo: 4022 - CZA RET 350);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;0.4667;20.0;0.7;30.0;0.9333;40.0;1.1667;50.0;1.4;60.0;;;False;False
20;CD Santa Fe;;10.0;SAZ - Argentina;17923;Eco Andes c/gas 500cc20 Vidrio 60 bultos;True;False;True;True;False;6;60;60;20.0;4132.0;4132.0;SFE-CZA RET 350;41.0;413.0;4132 - SFE-CZA RET 350 (Tipo: 4132 - SFE-CZA RET 350);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;1.4;20.0;1.4;30.0;1.4;40.0;1.4;50.0;1.4;60.0;;;False;False
;;2200;2.0;Brasil;17923;BALBOA ICE LATA 355ML SH C/12;True;False;True;True;False;6;60;60;1.4;4022.0;4022.0;CZA RET 350;40.0;402.0;4022 - CZA RET 350 (Tipo: 4022 - CZA RET 350);1.0;10;1.0;1.0;1.0;14.0;False;False;False;False;;;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;1.4;60.0;;;False;False
;;2200;;;17932;1/2 Lata Andes Origen Roja 4x6 ;True;False;True;False;True;10;100;100;0.84;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;0.84;100.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;17932;1/2 Lata Andes Origen Roja 4x6 ;True;False;True;False;True;10;100;100;24.0;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;0.28;60.0;0.42;70.0;0.56;80.0;0.7;90.0;0.84;100.0;;;False;False
8;CD Rosario;;10.0;SAZ - Argentina;17932;1/2 Lata Andes Origen Roja 4x6 ;True;False;True;False;True;10;100;100;24.0;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;0.4667;60.0;0.6;70.0;0.7;80.0;0.7778;90.0;0.84;100.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;17933;1/2 Lata Andes Origen Negra 4X6 ;True;False;True;False;True;10;100;100;24.0;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;0.28;60.0;0.42;70.0;0.56;80.0;0.7;90.0;0.84;100.0;;;False;False
8;CD Rosario;;10.0;SAZ - Argentina;17933;1/2 Lata Andes Origen Negra 4X6 ;True;False;True;False;True;10;100;100;24.0;5101.0;5101.0;LATA BASE ROS;51.0;510.0;5101 - LATA BASE ROS (Tipo: 5101 - LATA BASE ROS);1.0;10;1.0;1.0;1.0;1.0;True;False;False;False;;;0.28;100.0;0.42;100.0;0.56;100.0;0.7;100.0;0.84;100.0;;;False;False
;;2200;;;17933;1/2 Lata Andes Origen Negra 4X6 ;True;False;True;False;True;10;100;100;0.84;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;0.84;100.0;;;False;False
;;;2.0;Brasil;17944;BRAHMA EXTRA LAGER GFA VD 300ML CX C/23;True;True;False;True;False;9;90;90;23.0;131.0;1.0;GFA VD 300ML;1.0;3.0;131 - GFA VD 300ML (Tipo: 1 - CERVEJA);1.93;10;31.32;21.4;41.7;11.96;False;False;False;False;;;0.93;30.0;1.05;40.0;0.93;60.0;1.0;70.0;0.93;90.0;;;False;False
;;;2.0;Brasil;17946;DO BEM UVA GFA_VD 300ML CX C/18;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17948;PATAGONIA 24.7 ONE WAY 710ML CX6;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17950;WALS GIOIA ONE WAY 600ML CX C/12 ARTE;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;17952; GUARANA ANTARCTICA sin azucar1500cc 6;True;False;True;False;True;5;120;120;6.0;2012.0;2012.0;1500;20.0;201.0;2012 - 1500 (Tipo: 2012 - 1500);1.0;24;1.0;1.0;1.0;1.0;False;False;False;False;;;0.2333;24.0;0.35;48.0;0.4667;72.0;0.5833;96.0;0.7;120.0;;;False;False
21;CD Rosario II;;10.0;SAZ - Argentina;17952; GUARANA ANTARCTICA sin azucar1500cc 6;True;False;True;False;True;5;120;120;6.0;2132.0;2132.0;1500;21.0;213.0;2132 - 1500 (Tipo: 2132 - 1500);1.0;24;1.0;1.0;1.0;1.0;False;False;False;False;;;1.1667;24.0;0.875;48.0;0.7778;72.0;0.7292;96.0;0.7;120.0;;;False;False
11;CD Neuquen;;10.0;SAZ - Argentina;17952; GUARANA ANTARCTICA sin azucar1500cc 6;True;False;True;False;True;5;120;120;6.0;3051.0;3051.0;NQN - GASEOSAS 1500;30.0;305.0;3051 - NQN - GASEOSAS 1500 (Tipo: 3051 - NQN - GASEOSAS 1500);1.0;24;1.0;1.0;1.0;1.0;False;False;False;False;;;1.1667;24.0;0.875;48.0;0.7778;72.0;0.7292;96.0;0.7;120.0;;;False;False
;;2200;2.0;Brasil;17952;WALS ADEGA SANTIAGO ONE WAY 600ML CX C/12 ARTE;True;False;True;False;True;5;120;120;0.7;2012.0;2012.0;1500;20.0;201.0;2012 - 1500 (Tipo: 2012 - 1500);1.0;24;1.0;1.0;1.0;1.0;False;False;False;False;;;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;0.7;120.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;17953;GUARANA ANTARCTICA 2250cc 8 nuevo codigo;True;False;True;False;True;4;60;60;8.0;3021.0;3021.0;GASEOSA PET 2250;30.0;302.0;3021 - GASEOSA PET 2250 (Tipo: 3021 - GASEOSA PET 2250);1.0;15;1.0;1.0;1.0;1.0;False;False;False;False;;;0.4667;0.0;0.7;15.0;0.9333;30.0;1.1667;45.0;1.4;60.0;;;False;False
;;2200;;;17953;GUARANA ANTARCTICA 2250cc 8 nuevo codigo;True;False;True;False;True;4;60;60;1.4;3021.0;3021.0;GASEOSA PET 2250;30.0;302.0;3021 - GASEOSA PET 2250 (Tipo: 3021 - GASEOSA PET 2250);1.0;15;1.0;1.0;1.0;1.0;False;False;False;False;;;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;1.4;60.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;17954;GUARANA ANTARCTICA SIN AZUCAR LATA 4X6;True;False;True;False;True;12;120;120;24.0;5023.0;5023.0;LATA 354;50.0;502.0;5023 - LATA 354 (Tipo: 5023 - LATA 354);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;0.2333;80.0;0.35;90.0;0.4667;100.0;0.5833;110.0;0.7;120.0;;;False;False
19;CD Tucuman;;10.0;SAZ - Argentina;17954;GUARANA ANTARCTICA SIN AZUCAR LATA 4X6;True;False;True;False;True;12;120;120;24.0;2023.0;2023.0;CH 2 - LATA 354;20.0;202.0;2023 - CH 2 - LATA 354 (Tipo: 2023 - LATA 354);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;0.35;80.0;0.4667;90.0;0.56;100.0;0.6364;110.0;0.7;120.0;;;False;False
;;2200;2.0;Brasil;17954;WALS SANTA LUZIA ONE WAY 600ML CX C/12 ARTE;True;False;True;False;True;12;120;120;0.7;2023.0;2023.0;CH 2 - LATA 354;20.0;202.0;2023 - CH 2 - LATA 354 (Tipo: 2023 - LATA 354);1.0;10;1.0;1.0;1.0;1.0;False;False;False;False;;;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;0.7;120.0;;;False;False
;;;2.0;Brasil;17956;WALS CI ROCK ONE WAY 600ML CX C/12 ARTE;True;True;False;False;True;0;0;84;0.0;141.0;1.0;ONE-WAY 600 ART;4.0;1.0;141 - ONE-WAY 600 ART (Tipo: 1 - CERVEJA);0.0;0;0.0;0.0;0.0;12.0;False;False;False;False;;;1.0;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;84.0;1.0;CERVEJA COM ALCOOL;False;False
;;;2.0;Brasil;17973;WALS ICI 03 ONE WAY 375ML CX C/12 ARTE;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17975;WALS SAISON D ALLIANCE ONE WAY 375ML CX C/12 ARTE;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17982;CHOPP WALS BERLINER BARRIL KEG 30L NPAL;True;False;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17983;CHOPP WALS BERLINER BARRIL KEG 50L NPAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17985;DO BEM TODO DIA LARANJA TETRAPAK 330ML CX12;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17987;"""BUDWEISER GFA ALU 473ML CX 24 WORLD CUP	""";True;True;False;False;True;7;63;63;24.0;52.0;1.0;ONE-WAY 473;4.0;3.0;52 - ONE-WAY 473 (Tipo: 1 - CERVEJA);18.0;9;25.0;25.0;35.0;12.47;False;False;False;False;;;1.3333;21.0;1.3548;31.0;1.3333;42.0;1.3462;52.0;1.3333;63.0;1.0;CERVEJA COM ALCOOL;False;False
;;;2.0;Brasil;17988;CHOPP WALS SESSION HAZE BARRIL KEG 30L NPAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17989;CHOPP WALS SESSION HAZE BARRIL KEG 50L NPAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;2200;;;17991;(Fracción) 1/2 Lata Andes Origen Roja 6x473;True;False;True;False;True;10;50;50;6.0;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;5;1.0;1.0;1.0;1.0;False;False;False;False;;;0.56;30.0;0.84;35.0;1.12;40.0;1.4;45.0;1.68;50.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;17991;(FRACC)ANDES ORIGEN ROJA CAN X6 473;True;False;True;False;True;10;400;400;6.0;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;40;1.0;1.0;1.0;1.0;False;False;False;False;;;0.9333;30.0;1.2;35.0;1.4;40.0;1.5556;45.0;0.21;400.0;;;False;False
20;CD Santa Fe;;10.0;SAZ - Argentina;17991;(FRACC)ANDES ORIGEN ROJA CAN X6 473;True;False;True;False;False;10;400;400;6.0;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;40;1.0;1.0;1.0;1.0;False;True;False;False;;;0.9333;30.0;1.2;35.0;1.4;40.0;1.5556;45.0;0.21;400.0;;;False;False
8;CD Rosario;;10.0;SAZ - Argentina;17991;(FRACC)ANDES ORIGEN ROJA CAN X6 473;True;False;True;False;True;10;400;400;6.0;5101.0;5101.0;LATA BASE ROS;51.0;510.0;5101 - LATA BASE ROS (Tipo: 5101 - LATA BASE ROS);1.0;40;1.0;1.0;1.0;1.0;False;False;False;False;;;0.9333;30.0;1.2;35.0;1.4;40.0;1.5556;45.0;0.21;400.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;17993;(FRACC)ANDES NEGRA CAN X6 473;True;False;True;False;True;10;400;400;6.0;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;40;1.0;1.0;1.0;1.0;False;False;False;False;;;0.9333;30.0;1.2;35.0;1.4;40.0;1.5556;45.0;0.21;400.0;;;False;False
20;CD Santa Fe;;10.0;SAZ - Argentina;17993;(FRACC)ANDES NEGRA CAN X6 473;True;False;True;False;False;10;400;400;6.0;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;40;1.0;1.0;1.0;1.0;False;True;False;False;;;0.9333;30.0;1.2;35.0;1.4;40.0;1.5556;45.0;0.21;400.0;;;False;False
8;CD Rosario;;10.0;SAZ - Argentina;17993;(FRACC)ANDES NEGRA CAN X6 473;True;False;True;False;True;10;400;400;6.0;5101.0;5101.0;LATA BASE ROS;51.0;510.0;5101 - LATA BASE ROS (Tipo: 5101 - LATA BASE ROS);1.0;40;1.0;1.0;1.0;1.0;False;False;False;False;;;0.07;400.0;0.105;400.0;0.14;400.0;0.175;400.0;0.21;400.0;;;False;False
;;2200;;;17993;(fraccion)  AO Negra Lata X6 ;True;False;True;False;True;10;50;50;6.0;5025.0;5025.0;LATA 473;50.0;502.0;5025 - LATA 473 (Tipo: 5025 - LATA 473);1.0;5;1.0;1.0;1.0;1.0;False;False;False;False;;;0.56;30.0;0.84;35.0;1.12;40.0;1.4;45.0;1.68;50.0;;;False;False
;;;2.0;Brasil;17994;CHOPP WALS INHOTIM WALKERIANA BARRIL KEG 30L NPAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17995;CHOPP WALS INHOTIM WALKERIANA BARRIL KEG 50L NPAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17996;CHOPP WALS INHOTIM IMPETUS BARRIL KEG 30L NPAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17997;CHOPP WALS INHOTIM IMPETUS BARRIL KEG 50L NPAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;17998;CHOPP WALS ATELIE BARRIL KEG 30L NPAL;True;True;False;False;False;3;24;24;1.0;13.0;1.0;BARRIL KEG;6.0;1.0;13 - BARRIL KEG (Tipo: 1 - CERVEJA);1.12;8;36.0;37.0;40.0;32.01;False;False;True;False;;;3.5;8.0;3.5;12.0;3.5;16.0;3.5;20.0;3.5;24.0;3.0;CHOPP;False;False
;;;2.0;Brasil;17999;CHOPP WALS ATELIE BARRIL KEG 50L NPAL;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;18001;WALS MAD LAB BLACK TRIPPEL ONE WAY 375ML CX C/12 A;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;18003;WALS ALOHA ONE WAY 300ML CX C/12 ARTE;True;True;False;False;True;0;0;0;0.0;;;;;;;0.0;0;0.0;0.0;0.0;0.0;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;False;False
;;;2.0;Brasil;18005;BOHEMIA LT 269ML CX CARTAO C/8 NPAL;True;True;False;False;True;13;520;520;8.0;88.0;1.0;LATA 269;2.0;1.0;88 - LATA 269 (Tipo: 1 - CERVEJA);1.69;40;11.6;13.0;23.1;2.24;False;False;False;False;;;0.18;160.0;0.16;260.0;0.13;439.0;0.15;480.0;0.16;520.0;;;False;False
