Descrição;Descrição Reduzida;Código;Código Reduzido;Controle de Lote;Controle de Data de Expiração;Solicita Data de Fabricação;Vida Útil;Janela de Expiração;Peso;Item de Conversão;Chapatex;Palete;Tipo;Classificação;Nome da classe do produto;Nome do Armazém;Nome do Catálogo;Ativo;Código de barras;Curva;Largura;Altura;Comprimento;Porcentagem Mínima de Vida Útil;Porcentagem de pré-bloqueio
51 ICE MELANCIA GARRAFA VD 275ML CX C24;51ICMEL GFAVD27;35741;35741;False;False;False;;;11,3;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;17896002112106;;;;;;
51 ICE TEA E PESSEGO GARRAFA VD 275ML CX C24;51ICTEPE GFAVD2;35743;35743;False;False;False;;;11,3;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;17896002112120;;;;;;
ELMA CHIPS CHEETOS CRUNCHY MCHEDDAR PCTE 48G;ECHCCMCH PCTE48;35744;35744;False;False;False;;;0,048;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
CHOPP BRAHMA LT SLEEK 350ML CX CART C8 FULL OPEN;CHOPPBRA LTS350;35746;35746;False;False;False;;;3;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
CIROC VODKA GARRAFA VDR 750ML;CIVOD GFAV750ML;35747;35747;False;False;False;;;1,31;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
NAPANELA CALDO CUBO DE GALINHA PCT 114G;NAPCACGA PCT114;35748;35748;False;False;False;;;0,132;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
LATA MET ANTARCTICA PILSEN MP 473 473 ML;LTMAPMP473 473;35749;35749;False;False;False;;;10,2;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;1;;;;;;
ELMA CHIPS DORITOS NACHO PCTE 32G;ELCHDORNACH PCT;35750;35750;False;False;False;;;0,034;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS DORITOS SWEET CHILLI PCTE 32G;ELCHDOSWCH PCTE;35761;35761;False;False;False;;;0,034;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS CHEETOS BOLA PCTE 33G;ELCHICHBOL PCTE;35762;35762;False;False;False;;;0,035;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS DORITOS NACHO PCTE 75G;ELCHDORNACH PCT;35763;35763;False;False;False;;;0,078;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS DORITOS SWEET CHILLI PCTE 75G;ELCHDOSWCH PCTE;35764;35764;False;False;False;;;0,078;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS SALG LANCHINHO SORTIDO PCTE 98G;ELMCHLASO PCTE9;35765;35765;False;False;False;;;0,116;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
YPIOCA MEIOTA PRATA GFA PET 480ML CX 12;YPMEPRA GFAP480;35767;35767;False;False;False;;;6,48;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS RUFFLES CEBOLA E SALSA PCTE 33G;ELCHRUCESAL PCT;35768;35768;False;False;False;;;0,035;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;7892840822958;;;;;;
ELMA CHIPS CHEETOS LUA PCTE 35 G;ELCHLUA PACTE35;35769;35769;False;False;False;;;0,037;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS RUFFLES CHURRASCO PCTE 33G;ELCHRUCHU PCTE3;35770;35770;False;False;False;;;0,035;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;7892840822965;;;;;;
ELMA CHIPS RUFFLES SAL PCTE 33G;ELMCHRUFS PCTE3;35771;35771;False;False;False;;;0,035;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;7892840822972;;;;;;
LAYS RUSTICA SAL MARINHO PCTE 68G;LAYRUSALM PCTE6;35772;35772;False;False;False;;;0,072;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
LAYS RUSTICA CREAM CHEESE PCTE 68G;LAYRUCRCH PCTE6;35773;35773;False;False;False;;;0,072;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
COPOBRAS COPO PL DESC BR PCT PL C100 COP 200ML CX2;COPCPDB200 PPLC;35775;35775;False;False;False;;;5,02;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
COPOBRAS COPO PL DESC TRANSP PCT PL C100 COP 200ML;CPPLTR PPLC100C;35777;35777;False;False;False;;;5,02;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
COPOBRAS COPO PL DESC TRANSP PCT PL C100 COP 300ML;CPPLTR PCPC100C;35779;35779;False;False;False;;;5,97;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
COPOBRAS COPO FESTA AZ BR PCT PL C25 COP 300ML CX2;CCODFEAB PL25CO;35781;35781;False;False;False;;;2,82;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
COPOBRAS COPO FESTA VER BR PCT PL C25 COP 300ML CX;CCODFEVB PL25CO;35783;35783;False;False;False;;;2,82;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
AGUA AMA + SAIS S/GAS PET 1,5 SHRINK C/06 NPAL;AM+SSG PT1,5SHC;35792;35792;False;False;False;;;9,5;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
"COPOBRAS COPO PL DESC TRANSP PCT PL C50 COP 500ML ";CPPLTR PPLC50CO;35794;35794;False;False;False;;;7,73;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
AGUA AMA + SAIS S/GAS PET 500ML SH C/12;AM+SSG PT500SHC;35795;35795;False;False;False;;;6,45;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS CEBOLITOS PCT 91G CX C14;ELCHICEB PCT91G;35797;35797;False;False;False;;;1,76;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS DORITOS KETCHUP PCT 37G CX C58;ELMCHDORKET PCT;35799;35799;False;False;False;;;2,841;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
RICHESTER ESCURETO BISC  RECH PCT 74G CX C40;RIESCBIREC PCT7;35802;35802;False;False;False;;;3,26;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BRILUX AGUA SANITARIA FRASCO PL 5L C2 LEVE 5L PG 4;BRAGSAN FP5LC2;35803;35803;False;False;False;;;11,2;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS CEBOLITOS PCTE 91G;ELCHICEB PCTE91;35804;35804;False;False;False;;;0,095;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ELMA CHIPS STIKSY PCTE 76G;ELCHSTICK PCTE7;35805;35805;False;False;False;;;0,078;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
NATURAL ONE LARANJA MACA GFA PET 300ML FD C 12;NATOLAMA GFPET3;35807;35807;False;False;False;;;4,024;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;True;;;;;;;
