Descrição;Descrição Reduzida;Código;Código Reduzido;Controle de Lote;Controle de Data de Expiração;Solicita Data de Fabricação;Vida Útil;Janela de Expiração;Peso;Item de Conversão;Chapatex;Palete;Tipo;Classificação;Nome da classe do produto;Nome do Armazém;Nome do Catálogo;Ativo;Código de barras;Curva;Largura;Altura;Comprimento;Porcentagem Mínima de Vida Útil;Porcentagem de pré-bloqueio
"Não Utilizar - GATORADE LARANJA PET 500ML SIXPACK ";Não Utilizar - GATORADE LARANJA PET 500ML SIXPACK;NAOUSAR;NAOUSAR;False;False;False;;;3,4000000953674316;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;;
AG TON 290ML INTEGRAL;AG TON 290ML INTEGRAL;90000113;90000113;False;True;False;;;;False;False;False;Retornável;AG;Ativo de Giro;;Brasil;True;;;;;;;
AG BARRIL 30L;AG BARRIL 30L;90000201;90000201;False;True;False;;;;False;False;False;Retornável;AG;Ativo de Giro;;Brasil;True;;;;;;;
AG BARRIL 50L;AG BARRIL 50L;90000202;90000202;False;True;False;;;;True;False;False;Retornável;AG;Ativo de Giro;;Brasil;True;;;;;;;
Nao utilizar;Nao utilizar;00001;11425;False;True;False;;1;6,635000228881836;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;True;123456;A;;;;;
"Não Utilizar - GATORADE LARANJA PET 500ML SIXPACK ";Não Utilizar - GATORADE LARANJA PET 500ML SIXPACK;Não Utilizar - 7081;Não Utilizar - 7081;False;False;False;;10;3,4000000953674316;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;;
"GATORADE LARANJA PET 500ML SIXPACK ";GATORADE LARANJA PET 500ML SIXPACK;0000001;0000001;False;False;False;;;;False;False;False;Descartável;AG;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
"(Não utilizar)DO BEM UVA TETRAPAK 1L CX12 ";(Não utilizar)DO BEM UVA TETRAPAK 1L CX12;00000000015966;15966;False;True;False;;;;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
SKOL LATE 350ML C/18;SKOL LATE 350ML C/18;99778866;99778866;False;True;False;;;6;False;False;False;Descartável;Produto Acabado;RGB - Piloto;;Brasil;False;;;;;;;
GOOSE 4STAR ONE WAY 355ML CX C/4 SIX PACK GT;GOOSE 4STAR ONE WAY 355ML CX C/4 SIX PACK GT;17869;17869;False;False;False;270;;13,760000228881836;False;False;False;Descartável;Produto Acabado;One Way - SP;;Brasil;True;;;;;;;
BALBOA ICE LATA 355ML SH C/12;BALBOA ICE LATA 355ML SH C/12;17923;17923;False;False;False;270;;14;False;False;False;Retornável;Produto Acabado;Latas;;Brasil;False;;;;;;;
WALS SANTA LUZIA ONE WAY 600ML CX C/12 ARTE;WALS SANTA LUZIA ONE WAY 600ML CX C/12 ARTE;17954;17954;False;False;False;270;;13;False;False;False;Descartável;Produto Acabado;One Way - SP;;Brasil;True;;;;;;;
SKOL LT 269ML SH C/15 EXPORTACAO ESP;SKOL LT 269ML SH C/15 EXPORTACAO ESP;17068;17068;False;True;False;;;4,199999809265137;False;False;False;Descartável;Produto Acabado;Latas - Piloto;;Brasil;True;7891149103119;;;;;30;
teste migração 3;"teste migração ";00000000008;00000000008;False;False;False;;;;False;False;False;Retornável;Produto Acabado;1000;;Brasil;True;;;0;;;;
PATAGONIA BOHEIMIAN PILSENER ONE WAY 600ML CX 12;PATAGONIA BOHEIMIAN PILSENER ONE WAY 600ML CX 12;17293;17293;False;True;False;;;13;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;True;;;;;;;
SKOL PURO MALTE 300ML;SKOL PURO MALTE 300ML;18674;18674;False;True;False;;;13,600000381469727;False;False;False;Retornável;Produto Acabado;RGB - Piloto;;Brasil;True;;;;;;;
DB SMOOTHIE BAN MOR E LIN TETRAPAK 1L CX12;DB SMOOTHIE BAN MOR E LIN TETRAPAK 1L CX12;17500;17500;False;True;False;;;13;False;False;False;Descartável;Produto Acabado;TETRAPACK - Piloto;;Brasil;True;;;;;;;
TESTE2;TESTE sherlockkkae;40611;406110;False;True;False;;8;;True;False;False;Descartável;Item não classificado;1000;;Brasil;True;;C;;;;;
Item Descricao Completa;Item Descricao Completa;123459995;123459995;False;True;False;;;12,300000190734863;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;30;
BRAHMA EXTRA DARK LAGER LN 355ML SP C/4;BRAHMA EXTRA DARK LAGER LN 355ML SP C/4;xxxxxxxxxxxxxxxxxxxxxx;xxxxxxxxxxxxxxxxxxxxxx;False;True;False;;1;14;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;;
MOTIM HIDEOUT ONE WAY 600ML CX C-12 ARTE;MOTIM HIDEOUT ONE WAY 600ML CX C-12 ARTE;20063;20063;False;True;False;;;11,399999618530273;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;True;;;;;;;
KIT PALLET (PBR2 - 14);KIT PALLET (PBR2 - 14);900000121;900000121;False;True;False;;;;False;False;False;Retornável;AG;TST - Ativo de Giro;;Brasil;False;;;;;;30;
KIT PALLET (PBR1 - 14);KIT PALLET (PBR1 - 14);90000127;90000127;False;False;False;;;;False;False;False;Retornável;AG;"'- SEM INFORMAÇÕES -";CDD-Guarulhos;;True;;;;;;;
KIT CHAPATEX (250);KIT CHAPATEX (250);90000128;90000128;False;False;False;;;;False;False;False;Retornável;AG;"'- SEM INFORMAÇÕES -";CDD-Guarulhos;;True;;;;;;;
DO BEM TANGERINA TETRAPAK 1L CX12;DO BEM TANGERINA TETRAPAK 1L CX12;16939;16939;False;True;False;;;;False;False;False;Descartável;Produto Acabado;TETRAPACK - Piloto;;Brasil;True;;;;;;30;
BARRIL 16 - 50L + 8 - 30L;BARRIL 16 - 50L + 8 - 30L;90000203;90000203;False;True;False;;;;False;False;False;Retornável;AG;TST - Ativo de Giro;;Brasil;False;;;;;;30;
KIT DO VICTOR;KIT DO VICTOR;900001109;900001109;False;True;False;;;;False;False;False;Retornável;AG;TST - Ativo de Giro;;Brasil;False;;;;;;30;
DO BEM TANGERINA 100 TETRAPAK 200ML CX18;DO BEM TANGERINA 100 TETRAPAK 200ML CX18;16957;16957;False;True;False;;;15,079999923706055;False;False;False;Descartável;Produto Acabado;TETRAPACK - Piloto;;Brasil;True;;;;;;;
COLORADO BRASIL AMBER LAGER COM BARU ONE WAY 600ML;COLORADO BRASIL AMBER LAGER COM BARU ONE WAY 600ML;19587;19587;False;False;False;180;;11,399999618530273;False;False;False;Descartável;Produto Acabado;One Way - SP;;Brasil;True;;;;;;;
STELLA ARTOIS LATA 410ML C/12;STELLA ARTOIS LATA 410ML C/12;20851;20851;False;True;False;;;5,349999904632568;False;False;False;Descartável;Produto Acabado;Latas - Piloto;;Brasil;True;;C;;;;;
WALS SESSION FREE LN 355ML CX C12 NP;WLSEF LN355C12N;19420;19420;False;True;False;180;1;9,359999656677246;False;False;False;Descartável;Produto Acabado;Long Neck - Piloto;;Brasil;True;;;;;;;
BOHEMIA KIT PRESENTE 550ML CXC/3;BHKP 550CX3;8343;8343;False;True;False;;;1;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;False;;;;;;30;
GATORADE FIERCE FRUTAS MISTAS 591ML (4X6);GTF FR MI 591ML;5129;5129;False;True;False;;;15;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;True;;;;;;;
GATORADE FIERCE FRUTAS TROPICAIS 591ML (4X6);GTF FR TR 591ML;5130;5130;False;True;False;;;15;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;False;;;;;;30;
GATORADE FIERCE UVA SILVESTRE 591ML (4X6);GTF UVA S 591ML;5128;5128;False;True;False;;;15;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;False;;;;;;30;
SKOL LATA 473ML TWELVE PACK CARTAO BEATS;SK LT 473 TPC B;3632;3632;False;True;False;;;5676;False;False;False;Descartável;Produto Acabado;Latas - Piloto;;Brasil;False;7891149201051;;;;;30;
ZILLERTAL ONE WAY 330ML CX C/12;ZILLERTAL OW330;10393;10393;False;True;False;;;7,099999904632568;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;True;;;;;;;
ZILLERTAL ONE WAY 970ML CX12;ZILLERTAL OW970;10323;10323;False;True;False;;;20,81999969482422;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;True;;;;;;;
BARRIL 50L-16UN;BARRIL 50L-16UN;90000204;90000204;False;True;False;;;;False;False;False;Retornável;AG;TST - Ativo de Giro;;Brasil;False;;;;;;30;
BARRIL 16 - 30L + 8 - 50L;BARRIL 16 - 30L + 8 - 50L;90000205;90000205;False;True;False;;;;False;False;False;Retornável;AG;TST - Ativo de Giro;;Brasil;False;;;;;;30;
AGUA M LENCOIS MARANHENSE S/GAS PET 510ML CAIXA C/;AMLMSG PET510 C;8913;8913;False;True;False;;;6;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;True;7898910587031;;;;;;
Não Usar;Não Usar;0000;0000;False;False;False;;;999,989990234375;False;False;False;Descartável;Produto Acabado;Marketplace - Piloto;;Brasil;True;;;;;;;
WALS ADEGA SANTIAGO ONE WAY 600ML CX C/12 ARTE;WSADS OW600CX12;17952;17952;False;True;False;;;12;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;True;;;;;;;
AG BARRIL 50L C/18 INTEGRALIZADO;AG BARRIL 50L C/18 INTEGRALIZADO;90000151;90000151;False;True;False;;;;True;False;False;Retornável;AG;TST - Ativo de Giro;;Brasil;False;;;;;;;
SKOL PURO MALTE LT 269ML CX CARTAO C/8 NPAL SOUNDP;SKPM LT269CPCT8;21741;21741;False;True;False;;;2,2200000286102295;False;False;False;Descartável;Produto Acabado;Latas - Piloto;;Brasil;True;;;;;;;
BRAHMA CHOPP ONE WAY 1L GRFE CX C/12;BC OW1LGRFECXC/;22618;22618;False;True;False;;;23,100000381469727;False;False;False;Retornável;Produto Acabado;RGB - Piloto;;Brasil;True;7891991299985;;;;;;
KIT PALLET (PBR1 - 15);KIT PALLET (PBR1 - 15);90000130;90000130;False;False;False;;;;True;False;False;Retornável;AG;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
AGUA MINERAL CRIM PREMIUM S GAS PET 1,5L;AMCRIMPRESGAS P;19692;19692;False;True;False;;;1,5;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;False;;;;;;30;
PATAGONIA IPA ONE WAY 740ML CX6;PATAGONIA IPA ONE WAY 740ML ;23220;23220;False;True;False;;;7,019999980926514;False;False;False;Descartável;Produto Acabado;One Way - Piloto;;Brasil;True;;;;;;;
SPATEN N BARRIL KEG 30L NPAL;SPTN KEG30NP;24207;24207;False;True;False;;;32,0099983215332;False;False;False;Descartável;Produto Acabado;Barril - Piloto;;Brasil;True;;;;;;;
KIT AG BECKS 600;KIT AG BECKS 600;9000000190;9000000190;False;True;False;;;;False;False;False;Retornável;AG;Ativo de Giro;;Brasil;True;;;;;;;
KIT AG SPATEN + STELLA 600;KIT AG SPATEN + STELLA 600;90000601;90000601;False;True;False;;;;False;False;False;Retornável;AG;Ativo de Giro;;Brasil;True;;;;;;30;
KIT AG SPATEN 600ML;KIT AG SPATEN 600ML;9000000601999999;9000000601999999;False;False;False;;;;False;False;False;Retornável;AG;Ativo de Giro;;Brasil;True;;;;;;;
KIT BECKS 600;KIT BECKS 600;90000190;90000190;False;True;False;0;;;False;False;False;Retornável;AG;Ativo de Giro;;Brasil;True;;;;;;;
ISLA LICHIA LT 269ML CX CARTAO C/8 NPAL;ISLLIC LT269CPC;21847;21847;False;True;False;;;2,2300000190734863;False;False;False;Descartável;Produto Acabado;Latas - Piloto;;Brasil;True;;;;;;;
JUNIOR MOLHO DE MOSTARDA SACHE 7G CX C/176;JRMOLMOST SACH7;25775;25775;False;True;False;365;;1,5839999914169312;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;17896102801184;;;;;;
ANTARCTICA PILSEN GFA VD 1L SE;AP GFAVD1L S;21424;21424;False;False;False;365;;21,100000381469727;False;False;False;Retornável;Produto Acabado;RGB - Piloto;;Brasil;True;;;;;;;
ADRIA TORRADA LIGHT PCT 142G CX C/32;ADTORLIG PC142G;25668;25668;False;True;False;240;;5,909999847412109;False;False;False;Descartável;Produto Acabado;Alimentos - Piloto;;Brasil;True;17896085086226;;;;;;
STELLA ARTOIS LATA 410 ML CX C15 NP MULTPACK;S ARTOIS LT410M;25762;25762;False;True;False;0;;6,460000038146973;False;False;False;Descartável;Produto Acabado;Latas - Piloto;;Brasil;True;;;;;;;
"teste OCP Itens ";teste OCP Itens;8888888;8888888;False;True;False;0;;11,399999618530273;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;30;
"teste OCP Itens ";teste OCP Itens;8888889;8888889;False;True;False;0;;11,399999618530273;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;30;
"teste OCP Itens ";teste OCP Itens;8888890;8888890;False;True;False;0;;11,399999618530273;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;30;
"teste OCP Itens ";teste OCP Itens;8888891;8888891;False;True;False;0;;11,399999618530273;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;30;
"teste OCP Itens ";teste OCP Itens;8888892;8888892;False;True;False;0;;11,399999618530273;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;30;
GCA+PEPSI PET 200 ML SH C 6;GCAPEP PET200ML;27138;27138;False;True;False;;;1,2899999618530273;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;True;;;;;;;
LEVEDURA VIVA TIPO CY-08 GRANEL;LVTCY-08 GR;21001;21001;False;False;False;360;;1;False;False;False;Descartável;Produto Acabado;1000;;Brasil;False;;;;;;;
AGUA M GRASSA C/GAS PET 300 ML;AMGRACG PET 300;25927;25927;False;False;False;1080;;0,3149999976158142;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;False;;;;;;;
GORDONS GIN TONICA LATA DE ALUMINIO 269ML CX12;GORGITON LTAL26;26944;26944;False;False;False;540;;7,199999809265137;False;False;False;Descartável;Produto Acabado;Latas - Piloto;;Brasil;True;;;;;;;
HALLS MENTOL ENVELOPE 28G CX C/21;HALMENT ENV28GC;27177;27177;False;True;False;730;;0,5879999995231628;False;False;False;Descartável;Produto Acabado;Marketplace - Piloto;;Brasil;True;7622210857293;;;;;;
HALLS MORANGO ENVELOPE 28G CX C/21;HALLS MORANGO ENVELOPE 28G CX C/21;27179;27179;False;True;False;730;;0,5879999995231628;False;False;False;Descartável;Produto Acabado;Marketplace - Piloto;;Brasil;True;7622210857774;;;;;;
TORCIDA SALG TRIGO CAMARAO PIMENTA PCTE 45G;TOSTCPIM PCTE45;26522;26522;False;False;False;365;;0,04699999839067459;False;False;False;Descartável;Produto Acabado;Alimentos - Piloto;;Brasil;True;;;;;;;
TORCIDA JR SALG TRIGO BACON PCTE 45G;TORJRSLGBC PCTE;26560;26560;False;False;False;;;0,04699999839067459;False;False;False;Descartável;Produto Acabado;Alimentos - Piloto;;Brasil;True;;;;;;;
TORCIDA JR SALG TRIGO CALABRESA PCTE 45G;TORJRSLGTRCALB;26562;26562;False;False;False;365;;0,04699999839067459;False;False;False;Descartável;Produto Acabado;Alimentos - Piloto;;Brasil;True;;;;;;;
ALIMENTOS LOPES SAGU PCT 500G CX20;ALOPSAGU PCT500;26876;26876;False;False;False;365;;10,199999809265137;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
BOM DIA CAFE TRAD ALMOFADA PACOTE 250G CX20;BDCAFALM PACOTE;26912;26912;False;False;False;365;;5,150000095367432;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;1;;;;;;
LACTA SONHO DE VALSA E OURO BRANCO SORT DISPLAY 50;LCSHVLOUBRST DI;27167;27167;False;True;False;270;;0,550000011920929;False;False;False;Descartável;Produto Acabado;Alimentos - Piloto;;Brasil;True;;;;;;;
CROKISSIMO AMEND CROC PAO DE ALHO POTE PLAS 60G CX;CRAMCPAL PTPLAS;26452;26452;False;False;False;;;24;False;False;False;Descartável;Produto Acabado;Alimentos - Piloto;;Brasil;True;;;;;;;
HELLMANNS MAIONESE POTE PLAST. 500G CX C12;HM POTPL500GCX1;26796;26796;False;True;False;240;;6,4079999923706055;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
CESTINHA PL. C/AL. AZUL BEES 1 UN P/12 GFA 300ML;CESTPLALAZB 1UN;26594;26594;False;False;False;360;;0,550000011920929;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
CESTINHA PL. C/AL MARROM BEES 1 UN P/12 GFA 300ML;CESTPLALMORB 1U;26596;26596;False;False;False;360;;0,550000011920929;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
CESTINHA PL. C/AL AMARELA BEES 1 UN P/12 GFA 300ML;CSTPLCAAMBE 1UN;26642;26642;False;False;False;360;;0,550000011920929;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
CESTINHA PL. C/AL VERMELHA BEES 1 UN P/12 GFA 300M;CSTPLAVEBE 1UNP;26643;26643;False;False;False;360;;0,550000011920929;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
CROKISSIMO AMEND CROC LEV SALGADO PCT PLAS 6,912KG;CRAMCLS PCTP6,9;26450;26450;False;True;False;180;;7,486000061035156;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
TORCIDA SALG TRIGO CAMARAO PIMENTA PCTE 100G;TOSTCPIM PCTE10;26567;26567;False;True;False;168;;0,10199999809265137;False;False;False;Descartável;Produto Acabado;Alimentos - Piloto;;Brasil;True;;;;;;;
TORCIDA SALG TRIG CEBOLA PCTE 100G;TOSTCEBL PCTE10;26570;26570;False;True;False;168;;0,10199999809265137;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
TORCIDA SALG DE TRIGO CHURRASCO PCTE 100G;TORSLGTRCHU PCT;26576;26576;False;True;False;168;;0,10199999809265137;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
TORCIDA SALG DE TRIGO QUEIJO PCTE 100G;TOSALTRQU PCTE1;26583;26583;False;True;False;168;;0,10199999809265137;False;False;False;Descartável;Produto Acabado;Alimentos - Piloto;;Brasil;True;;;;;;;
TORCIDA SALG DE TRIGO PIMENTA MEXICANA PCTE 100G;TOSALTRPIMEX PC;26585;26585;False;True;False;168;;0,10199999809265137;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
MAR DOCE AGUA MIN C GAS PREMIUM GFA PET 330ML FD C;MDAGUMGP GFPET3;26848;26848;False;True;False;180;;4,059999942779541;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;True;17898967880144;;;;;;
MAR DOCE AGUA MINERAL SEM GAS GFA PET 510ML FD C/1;MDAMSG GFPT510M;26896;26896;False;True;False;360;;6,119999885559082;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;True;7898049550203;;;;;;
MAR DOCE AGUA MIN S GAS PREMIUM GFA PET 330ML FD C;MDAMSGP GFPET33;26898;26898;False;True;False;360;;3,9839999675750732;False;False;False;Descartável;Produto Acabado;PET - Piloto;;Brasil;True;7898967880109;;;;;;
DUCOCO AGUA DE COCO TETRA PAK 200 ML CX C/27;DAGCO TETP200ML;24481;24481;False;True;False;300;;6,03000020980835;False;False;False;Descartável;Produto Acabado;TETRAPACK - Piloto;;Brasil;True;;;;;;;
QUERO KETCHUP PICANTE SQUEEZE 200G CX24;QUKETPI SQUEEZE;26727;26727;False;True;False;195;;5,363999843597412;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
QUERO KETCHUP SQUEEZE 200G CX24;QUEKETC SQUEEZE;26808;26808;False;True;False;720;;5,205999851226807;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
LACTA BIS XTRA BLACK PCT 45G CX C 24;LBISXB PCT45GCX;27175;27175;False;True;False;300;;1,1360000371932983;False;False;False;Descartável;Produto Acabado;Marketplace - Piloto;;Brasil;True;7622210566393;;;;;;
FOFURA SALGADINHO DE MILHO ANEL CEBOLA PCTE 40G;FOSLGMIANCE PCT;26526;26526;False;True;False;139;;0,0430000014603138;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
FOFURA SALG MILH CONC CHURRASCO PCTE 40G;FOSACHUR PCTE40;26527;26527;False;False;False;;;0,0430000014603138;False;False;False;Descartável;Produto Acabado;Marketplace - Piloto;;Brasil;True;;;;;;;
FOFURA SALG DE MILHO CONC PRESUNTO PCTE 40G;FOSGMLCPRSU PCT;26528;26528;False;True;False;151;;0,0430000014603138;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
FOFURA SALGADINHO DE MILHO PALITO QUEIJO PCTE 40G;FOFSLGMIPQU PCT;26537;26537;False;True;False;151;;0,0430000014603138;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
FOFURA SALG DE MILHO REQUEIJAO PCTE 40G;FOFSLGMREQ PCTE;26552;26552;False;True;False;137;;0,0430000014603138;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
GALLO PIMENTA AZEITE OLIV TIP UN GFA VDR 50ML CX 1;GAPIMOLI GFAVDR;26641;26641;False;True;False;540;;2;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
"RUIZ CUP 06 XICARAS CROCANTES C CHOCO CAIXA 60G C ";RUC6XCRCH CX60G;26694;26694;False;True;False;270;;1,25;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
RUIZ CAFE GOURMET CAIXA 55G C 10 CAP C 20CX;RUCFCOU CX55GC1;26676;26676;False;True;False;540;;1,7000000476837158;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
RUIZ CAFE GOURMET INTENSO CAIXA 55G C 10 CAP C 20C;RUCFGOIN CX55GC;26678;26678;False;True;False;540;;1,7000000476837158;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
GUARANI ACUCAR REFINADO AMORFO PACOTE PLAST 800G F;GUACREFA PACTPL;26840;26840;False;True;False;365;;8,100000381469727;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
JUSSARA BEB LACTEA PROT BANANA TETRAPAK 250ML CX C;JUBELPB TETRP25;26745;26745;False;True;False;240;;3;False;False;False;Descartável;Produto Acabado;TETRAPACK - Piloto;;Brasil;True;;;;;;;
JUSSARA BEB LACTEA PROT CHOCOL TETRAPAK 250ML CX C;JUBELPCH TETRP2;26747;26747;False;True;False;240;;3;False;False;False;Descartável;Produto Acabado;TETRAPACK - Piloto;;Brasil;True;;;;;;;
UNIAO ADOCANTE LIQUIDO SUCRALOSE FRASCO PLASTICO 6;UNALSU FRSCPL65;26792;26792;False;True;False;1095;;1;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
HEINZ MOSTARDA MEL FRASCO PLASTICO 230G CX8;HEMOME FRSCPL23;26766;26766;False;True;False;182;;1,840000033378601;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
HEINZ MOSTARDA PICANTE SQUEEZE 230G CX8;HEMOPI SQUEEZE2;26815;26815;False;True;False;182;;1,840000033378601;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR BALA BUTTER TOFFEES LEITE PCT 500G;ARBUTOLE PCT500;27149;27149;False;True;False;547;;0,5299999713897705;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR BALA BUTTER TOFFEES MARACUJA PCT 500G;ACBTUMARC PCT50;27151;27151;False;True;False;547;;0,5299999713897705;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
"ARCOR ROCKLETS CONFEITO LEITE UN 40G DISPLAY 530G ";ARCLU40G DPL530;26935;26935;False;True;False;365;;6,599999904632568;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR PIRULITO 7BELO FRAMBOESA PCT 600G;APIR7BFR PCT600;27157;27157;False;True;False;730;;0,6399999856948853;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR POOSH PIRULITO GUARANA PACOTE PLAST 600G;APPG PCTPL600G;27159;27159;False;True;False;730;;0,6399999856948853;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR BALA 7 BELO IOGURTE PCT 500G;AB7BIO PCT500G;27152;27152;False;True;False;547;;0,5299999713897705;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR BALA POOSH GUARANA PCT 600G;ARBAPG PCT600G;27154;27154;False;True;False;730;;0,6299999952316284;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR PLUTONITA CHICLE FORCA VERDE DISPLAY 180G.;APCFV DSPLY180G;27160;27160;False;True;False;456;;0,20999999344348907;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR PLUTONITA CHICLE ATOMIC MISTERIO DISPLAY 396;APCAM DSPL396G.;27161;27161;False;True;False;456;;0,4300000071525574;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR CHICLE BIG BIG MORANGO DISPLAY 350G.;ACBIGMO DISPLAY;27170;27170;False;True;False;730;;0,38999998569488525;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR CHICLE BIG BIG UVA DISPLAY 350G.;ACHBUV DISPLAY3;27171;27171;False;True;False;730;;0,38999998569488525;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR CHICLE BIG BIG TUTTI FRUTTI DISPLAY 350G.;ACHBITF DISPLAY;27172;27172;False;True;False;730;;0,38999998569488525;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR PLUTONITA CHICLE BABA DE BRUXA DISPLAY 200G.;ARPLCBB DCPL200;27181;27181;False;True;False;456;;0,23000000417232513;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
ARCOR FLICS CHICLE MENTA DISPLAY 226G.;AFCM DISPLAY226;27186;27186;False;True;False;547;;0,27000001072883606;False;False;False;Descartável;Produto Acabado;"'- SEM INFORMAÇÕES -";;Brasil;True;;;;;;;
